"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","Scallop0","Scallop1","Scallop2","Scallop3","Scallop4","Scallop5","Scallop6","Scallop7","Scallop8","Scallop9","Scallop10","Discount.Rate","Sea.Days"
"28",320000,"2-3 Years","November-January","Ear Hanging",411027.29,231144.14,434955.33,295788.66,295788.66,295788.66,295788.66,295788.66,295788.66,295788.66,295788.66,0,0,2302236.8,2302236.8,2302236.8,2302236.8,2302236.8,2302236.8,2302236.8,2302236.8,2302236.8,0.12,186
"29",330000,"2-3 Years","November-January","Ear Hanging",419339.38,235461.41,441921.12,302146.01,302146.01,302146.01,302146.01,302146.01,302146.01,302146.01,302146.01,0,0,2374181.7,2374181.7,2374181.7,2374181.7,2374181.7,2374181.7,2374181.7,2374181.7,2374181.7,0.12,193
"30",340000,"2-3 Years","November-January","Ear Hanging",420509.13,237872.01,446156.86,305773.3,305773.3,305773.3,305773.3,305773.3,305773.3,305773.3,305773.3,0,0,2446126.6,2446126.6,2446126.6,2446126.6,2446126.6,2446126.6,2446126.6,2446126.6,2446126.6,0.12,198
"31",350000,"2-3 Years","November-January","Ear Hanging",421060.08,241456.14,452389.51,311397.5,311397.5,311397.5,311397.5,311397.5,311397.5,311397.5,311397.5,0,0,2518071.5,2518071.5,2518071.5,2518071.5,2518071.5,2518071.5,2518071.5,2518071.5,2518071.5,0.12,205
"32",360000,"2-3 Years","November-January","Ear Hanging",421641.83,243278.74,456319.17,314729.08,314729.08,314729.08,314729.08,314729.08,314729.08,314729.08,314729.08,0,0,2590016.4,2590016.4,2590016.4,2590016.4,2590016.4,2590016.4,2590016.4,2590016.4,2590016.4,0.12,209
"33",370000,"2-3 Years","November-January","Ear Hanging",422223.58,246865.66,462554.62,320356.08,320356.08,320356.08,320356.08,320356.08,320356.08,320356.08,320356.08,0,0,2661961.3,2661961.3,2661961.3,2661961.3,2661961.3,2661961.3,2661961.3,2661961.3,2661961.3,0.12,216
"34",380000,"2-3 Years","November-January","Ear Hanging",430535.67,249418.61,467109.16,324302.18,324302.18,324302.18,324302.18,324302.18,324302.18,324302.18,324302.18,0,0,2733906.2,2733906.2,2733906.2,2733906.2,2733906.2,2733906.2,2733906.2,2733906.2,2733906.2,0.12,219
"35",390000,"2-3 Years","November-January","Ear Hanging",431968.61,253884.73,474035.27,330630.2,330630.2,330630.2,330630.2,330630.2,330630.2,330630.2,330630.2,0,0,2805851.1,2805851.1,2805851.1,2805851.1,2805851.1,2805851.1,2805851.1,2805851.1,2805851.1,0.12,229
"36",400000,"2-3 Years","November-January","Ear Hanging",432550.36,255707.34,477859.47,333845.95,333845.95,333845.95,333845.95,333845.95,333845.95,333845.95,333845.95,0,0,2877796,2877796,2877796,2877796,2877796,2877796,2877796,2877796,2877796,0.12,232
"57",50000,"3-4 Years","November-January","Ear Hanging",359473.32,154399.56,284927.41,175316.96,172285.08,172285.08,172285.08,172285.08,172285.08,172285.08,172285.08,0,0,0,937451.61,937451.61,937451.61,937451.61,937451.61,937451.61,937451.61,937451.61,0.12,37
"58",60000,"3-4 Years","November-January","Ear Hanging",360085.87,156224.96,286401.77,178570.8,174930.48,174930.48,174930.48,174930.48,174930.48,174930.48,174930.48,0,0,0,1124947.71,1124947.71,1124947.71,1124947.71,1124947.71,1124947.71,1124947.71,1124947.71,0.12,40
"59",70000,"3-4 Years","November-January","Ear Hanging",360667.62,159811.89,290978.35,185748.54,181510.14,181510.14,181510.14,181510.14,181510.14,181510.14,181510.14,0,0,0,1312443.81,1312443.81,1312443.81,1312443.81,1312443.81,1312443.81,1312443.81,1312443.81,0.12,48
"60",80000,"3-4 Years","November-January","Ear Hanging",368979.71,162364.83,293886.12,190435.79,185588.94,185588.94,185588.94,185588.94,185588.94,185588.94,185588.94,0,0,0,1499939.91,1499939.91,1499939.91,1499939.91,1499939.91,1499939.91,1499939.91,1499939.91,0.12,51
"61",90000,"3-4 Years","November-January","Ear Hanging",369592.26,164190.24,295066.48,193395.63,187940.33,187940.33,187940.33,187940.33,187940.33,187940.33,187940.33,0,0,0,1687436.01,1687436.01,1687436.01,1687436.01,1687436.01,1687436.01,1687436.01,1687436.01,0.12,53
"62",100000,"3-4 Years","November-January","Ear Hanging",371056.01,168659.16,301465.99,202043.37,195989.99,195989.99,195989.99,195989.99,195989.99,195989.99,195989.99,0,0,0,1874932.11,1874932.11,1874932.11,1874932.11,1874932.11,1874932.11,1874932.11,1874932.11,0.12,66
"63",110000,"3-4 Years","November-January","Ear Hanging",372139.02,170955.03,304410.67,206767.54,200105.71,200105.71,200105.71,200105.71,200105.71,200105.71,200105.71,0,0,0,2062428.21,2062428.21,2062428.21,2062428.21,2062428.21,2062428.21,2062428.21,2062428.21,0.12,71
"64",120000,"3-4 Years","November-January","Ear Hanging",380451.11,175272.29,308729.83,212866.17,205595.9,205595.9,205595.9,205595.9,205595.9,205595.9,205595.9,0,0,0,2249895.42,2249895.42,2249895.42,2249895.42,2249895.42,2249895.42,2249895.42,2249895.42,0.12,77
"65",130000,"3-4 Years","November-January","Ear Hanging",381063.66,177097.7,310897.96,217635.46,209767.11,209767.11,209767.11,209767.11,209767.11,209767.11,209767.11,0,0,0,2437391.52,2437391.52,2437391.52,2437391.52,2437391.52,2437391.52,2437391.52,2437391.52,0.12,81
"66",140000,"3-4 Years","November-January","Ear Hanging",381645.41,180684.62,314486.77,223003.76,214526.95,214526.95,214526.95,214526.95,214526.95,214526.95,214526.95,0,0,0,2624887.62,2624887.62,2624887.62,2624887.62,2624887.62,2624887.62,2624887.62,2624887.62,0.12,87
"67",150000,"3-4 Years","November-January","Ear Hanging",390576.3,183828.37,317985.33,228281.8,219196.55,219196.55,219196.55,219196.55,219196.55,219196.55,219196.55,0,0,0,2812383.72,2812383.72,2812383.72,2812383.72,2812383.72,2812383.72,2812383.72,2812383.72,0.12,92
"68",160000,"3-4 Years","November-January","Ear Hanging",391158.04,185650.97,320444.67,232518.9,222835.57,222835.57,222835.57,222835.57,222835.57,222835.57,222835.57,0,0,0,2999879.82,2999879.82,2999879.82,2999879.82,2999879.82,2999879.82,2999879.82,2999879.82,0.12,96
"69",170000,"3-4 Years","November-January","Ear Hanging",391770.59,189240.69,324036.28,237889.99,227598.21,227598.21,227598.21,227598.21,227598.21,227598.21,227598.21,0,0,0,3187375.92,3187375.92,3187375.92,3187375.92,3187375.92,3187375.92,3187375.92,3187375.92,0.12,102
"70",180000,"3-4 Years","November-January","Ear Hanging",392352.34,191063.3,326213.7,241846.89,230946.66,230946.66,230946.66,230946.66,230946.66,230946.66,230946.66,0,0,0,3374872.02,3374872.02,3374872.02,3374872.02,3374872.02,3374872.02,3374872.02,3374872.02,0.12,105
"71",190000,"3-4 Years","November-January","Ear Hanging",400695.23,195383.36,331535.51,249771.58,238262.9,238262.9,238262.9,238262.9,238262.9,238262.9,238262.9,0,0,0,3562368.12,3562368.12,3562368.12,3562368.12,3562368.12,3562368.12,3562368.12,3562368.12,0.12,113
"72",200000,"3-4 Years","November-January","Ear Hanging",402158.98,198087.97,334523.91,255008.21,242901.45,242901.45,242901.45,242901.45,242901.45,242901.45,242901.45,0,0,0,3749835.33,3749835.33,3749835.33,3749835.33,3749835.33,3749835.33,3749835.33,3749835.33,0.12,121
"73",210000,"3-4 Years","November-January","Ear Hanging",403241.99,202148.16,339879.85,262143.63,249428.42,249428.42,249428.42,249428.42,249428.42,249428.42,249428.42,0,0,0,3937331.43,3937331.43,3937331.43,3937331.43,3937331.43,3937331.43,3937331.43,3937331.43,0.12,130
"74",220000,"3-4 Years","November-January","Ear Hanging",403823.74,203970.76,342057.26,266100.53,252776.87,252776.87,252776.87,252776.87,252776.87,252776.87,252776.87,0,0,0,4124827.53,4124827.53,4124827.53,4124827.53,4124827.53,4124827.53,4124827.53,4124827.53,0.12,133
"75",230000,"3-4 Years","November-January","Ear Hanging",412166.63,208290.82,346367.13,272188.16,258266.43,258266.43,258266.43,258266.43,258266.43,258266.43,258266.43,0,0,0,4312323.63,4312323.63,4312323.63,4312323.63,4312323.63,4312323.63,4312323.63,4312323.63,0.12,139
"76",240000,"3-4 Years","November-January","Ear Hanging",412748.38,210113.43,348544.55,276145.06,261614.88,261614.88,261614.88,261614.88,261614.88,261614.88,261614.88,0,0,0,4499819.73,4499819.73,4499819.73,4499819.73,4499819.73,4499819.73,4499819.73,4499819.73,0.12,142
"77",250000,"3-4 Years","November-January","Ear Hanging",413948.93,212526.83,350312.92,280516.3,265377.67,265377.67,265377.67,265377.67,265377.67,265377.67,265377.67,0,0,0,4687315.83,4687315.83,4687315.83,4687315.83,4687315.83,4687315.83,4687315.83,4687315.83,0.12,147
"78",260000,"3-4 Years","November-January","Ear Hanging",422261.02,216844.1,355913.84,287894.99,272158.28,272158.28,272158.28,272158.28,272158.28,272158.28,272158.28,0,0,0,4874811.93,4874811.93,4874811.93,4874811.93,4874811.93,4874811.93,4874811.93,4874811.93,0.12,155
"79",270000,"3-4 Years","November-January","Ear Hanging",422873.57,218669.5,358094.06,291854.69,275509.53,275509.53,275509.53,275509.53,275509.53,275509.53,275509.53,0,0,0,5062279.14,5062279.14,5062279.14,5062279.14,5062279.14,5062279.14,5062279.14,5062279.14,0.12,158
"80",280000,"3-4 Years","November-January","Ear Hanging",423455.32,222256.42,361682.87,297222.98,280269.37,280269.37,280269.37,280269.37,280269.37,280269.37,280269.37,0,0,0,5249775.24,5249775.24,5249775.24,5249775.24,5249775.24,5249775.24,5249775.24,5249775.24,0.12,164
"81",290000,"3-4 Years","November-January","Ear Hanging",424949.86,224963.83,365673.93,303462.28,285910.59,285910.59,285910.59,285910.59,285910.59,285910.59,285910.59,0,0,0,5437271.34,5437271.34,5437271.34,5437271.34,5437271.34,5437271.34,5437271.34,5437271.34,0.12,173
"82",300000,"3-4 Years","November-January","Ear Hanging",433261.95,229281.09,370992.94,310560.77,292400.63,292400.63,292400.63,292400.63,292400.63,292400.63,292400.63,0,0,0,5624767.44,5624767.44,5624767.44,5624767.44,5624767.44,5624767.44,5624767.44,5624767.44,0.12,180
"83",310000,"3-4 Years","November-January","Ear Hanging",434344.97,231576.96,372937.77,315108.47,296339.88,296339.88,296339.88,296339.88,296339.88,296339.88,296339.88,0,0,0,5812263.54,5812263.54,5812263.54,5812263.54,5812263.54,5812263.54,5812263.54,5812263.54,0.12,185
"84",320000,"3-4 Years","November-January","Ear Hanging",434926.72,233399.57,375103.11,319051.57,299684.9,299684.9,299684.9,299684.9,299684.9,299684.9,299684.9,0,0,0,5999759.64,5999759.64,5999759.64,5999759.64,5999759.64,5999759.64,5999759.64,5999759.64,0.12,188
"85",330000,"3-4 Years","November-January","Ear Hanging",435539.26,236989.29,379694.57,325422.52,305447.4,305447.4,305447.4,305447.4,305447.4,305447.4,305447.4,0,0,0,6187255.74,6187255.74,6187255.74,6187255.74,6187255.74,6187255.74,6187255.74,6187255.74,0.12,195
"86",340000,"3-4 Years","November-January","Ear Hanging",444439.35,240130.23,382190.48,329697.9,309114.34,309114.34,309114.34,309114.34,309114.34,309114.34,309114.34,0,0,0,6374751.84,6374751.84,6374751.84,6374751.84,6374751.84,6374751.84,6374751.84,6374751.84,0.12,199
"87",350000,"3-4 Years","November-January","Ear Hanging",445051.9,243719.96,386781.94,336068.85,314876.84,314876.84,314876.84,314876.84,314876.84,314876.84,314876.84,0,0,0,6562219.05,6562219.05,6562219.05,6562219.05,6562219.05,6562219.05,6562219.05,6562219.05,0.12,206
"88",360000,"3-4 Years","November-January","Ear Hanging",445633.65,245542.56,388241.42,339306.1,317516.01,317516.01,317516.01,317516.01,317516.01,317516.01,317516.01,0,0,0,6749715.15,6749715.15,6749715.15,6749715.15,6749715.15,6749715.15,6749715.15,6749715.15,0.12,209
"89",370000,"3-4 Years","November-January","Ear Hanging",453976.54,249862.63,393563.23,347230.78,324832.24,324832.24,324832.24,324832.24,324832.24,324832.24,324832.24,0,0,0,6937211.25,6937211.25,6937211.25,6937211.25,6937211.25,6937211.25,6937211.25,6937211.25,0.12,217
"90",380000,"3-4 Years","November-January","Ear Hanging",454558.29,251685.23,395740.65,351187.68,328180.69,328180.69,328180.69,328180.69,328180.69,328180.69,328180.69,0,0,0,7124707.35,7124707.35,7124707.35,7124707.35,7124707.35,7124707.35,7124707.35,7124707.35,0.12,220
"91",390000,"3-4 Years","November-January","Ear Hanging",456052.84,256156.96,401143.11,358838.37,335233.3,335233.3,335233.3,335233.3,335233.3,335233.3,335233.3,0,0,0,7312203.45,7312203.45,7312203.45,7312203.45,7312203.45,7312203.45,7312203.45,7312203.45,0.12,232
"113",50000,"2-3 Years","August-October","Ear Hanging",351619.78,153658.02,287714.83,164882.95,164882.95,164882.95,164882.95,164882.95,164882.95,164882.95,164882.95,0,0,237342.2,237342.2,237342.2,237342.2,237342.2,237342.2,237342.2,237342.2,237342.2,0.12,28
"114",60000,"2-3 Years","August-October","Ear Hanging",359931.87,156210.96,292092.91,168652.59,168652.59,168652.59,168652.59,168652.59,168652.59,168652.59,168652.59,0,0,284815.6,284815.6,284815.6,284815.6,284815.6,284815.6,284815.6,284815.6,284815.6,0.12,31
"115",70000,"2-3 Years","August-October","Ear Hanging",360513.62,159797.89,296669.49,172631.09,172631.09,172631.09,172631.09,172631.09,172631.09,172631.09,172631.09,0,0,332282.8,332282.8,332282.8,332282.8,332282.8,332282.8,332282.8,332282.8,332282.8,0.12,36
"116",80000,"2-3 Years","August-October","Ear Hanging",361095.37,161620.49,300317.23,175670.38,175670.38,175670.38,175670.38,175670.38,175670.38,175670.38,175670.38,0,0,379750,379750,379750,379750,379750,379750,379750,379750,379750,0.12,39
"117",90000,"2-3 Years","August-October","Ear Hanging",361646.32,163440.3,303138.78,177883.48,177883.48,177883.48,177883.48,177883.48,177883.48,177883.48,177883.48,0,0,427217.2,427217.2,427217.2,427217.2,427217.2,427217.2,427217.2,427217.2,427217.2,0.12,41
"118",100000,"2-3 Years","August-October","Ear Hanging",363110.07,167909.22,309420.75,183567.37,183567.37,183567.37,183567.37,183567.37,183567.37,183567.37,183567.37,0,0,474684.4,474684.4,474684.4,474684.4,474684.4,474684.4,474684.4,474684.4,474684.4,0.12,50
"119",110000,"2-3 Years","August-October","Ear Hanging",371892.62,170932.63,314269.3,187807.47,187807.47,187807.47,187807.47,187807.47,187807.47,187807.47,187807.47,0,0,522157.8,522157.8,522157.8,522157.8,522157.8,522157.8,522157.8,522157.8,522157.8,0.12,54
"120",120000,"2-3 Years","August-October","Ear Hanging",372474.37,174519.55,318857.96,191787.69,191787.69,191787.69,191787.69,191787.69,191787.69,191787.69,191787.69,0,0,569625,569625,569625,569625,569625,569625,569625,569625,569625,0.12,59
"121",130000,"2-3 Years","August-October","Ear Hanging",373025.32,176339.36,322490.82,194822.46,194822.46,194822.46,194822.46,194822.46,194822.46,194822.46,194822.46,0,0,617092.2,617092.2,617092.2,617092.2,617092.2,617092.2,617092.2,617092.2,617092.2,0.12,62
"122",140000,"2-3 Years","August-October","Ear Hanging",373607.07,179926.28,327079.49,198802.68,198802.68,198802.68,198802.68,198802.68,198802.68,198802.68,198802.68,0,0,664565.6,664565.6,664565.6,664565.6,664565.6,664565.6,664565.6,664565.6,664565.6,0.12,67
"123",150000,"2-3 Years","August-October","Ear Hanging",374776.81,182336.88,331315.23,202429.97,202429.97,202429.97,202429.97,202429.97,202429.97,202429.97,202429.97,0,0,712032.8,712032.8,712032.8,712032.8,712032.8,712032.8,712032.8,712032.8,712032.8,0.12,72
"124",160000,"2-3 Years","August-October","Ear Hanging",375358.56,184159.49,334127.49,204644.16,204644.16,204644.16,204644.16,204644.16,204644.16,204644.16,204644.16,0,0,759500,759500,759500,759500,759500,759500,759500,759500,759500,0.12,74
"125",170000,"2-3 Years","August-October","Ear Hanging",383670.65,188476.75,340269.89,210178.11,210178.11,210178.11,210178.11,210178.11,210178.11,210178.11,210178.11,0,0,806967.2,806967.2,806967.2,806967.2,806967.2,806967.2,806967.2,806967.2,806967.2,0.12,80
"126",180000,"2-3 Years","August-October","Ear Hanging",384221.6,190296.56,343091.44,212391.21,212391.21,212391.21,212391.21,212391.21,212391.21,212391.21,212391.21,0,0,854434.4,854434.4,854434.4,854434.4,854434.4,854434.4,854434.4,854434.4,854434.4,0.12,82
"127",190000,"2-3 Years","August-October","Ear Hanging",384803.35,193883.48,348503.5,217194.82,217194.82,217194.82,217194.82,217194.82,217194.82,217194.82,217194.82,0,0,901907.8,901907.8,901907.8,901907.8,901907.8,901907.8,901907.8,901907.8,901907.8,0.12,88
"128",200000,"2-3 Years","August-October","Ear Hanging",386267.1,196588.08,353021.15,221114.39,221114.39,221114.39,221114.39,221114.39,221114.39,221114.39,221114.39,0,0,949375,949375,949375,949375,949375,949375,949375,949375,949375,0.12,94
"129",210000,"2-3 Years","August-October","Ear Hanging",387319.31,200645.47,358080.28,225565.08,225565.08,225565.08,225565.08,225565.08,225565.08,225565.08,225565.08,0,0,996842.2,996842.2,996842.2,996842.2,996842.2,996842.2,996842.2,996842.2,996842.2,0.12,100
"130",220000,"2-3 Years","August-October","Ear Hanging",395600.6,203195.62,362455.56,229331.91,229331.91,229331.91,229331.91,229331.91,229331.91,229331.91,229331.91,0,0,1044315.6,1044315.6,1044315.6,1044315.6,1044315.6,1044315.6,1044315.6,1044315.6,1044315.6,0.12,103
"131",230000,"2-3 Years","August-October","Ear Hanging",396182.35,206782.54,367032.15,233310.41,233310.41,233310.41,233310.41,233310.41,233310.41,233310.41,233310.41,0,0,1091782.8,1091782.8,1091782.8,1091782.8,1091782.8,1091782.8,1091782.8,1091782.8,1091782.8,0.12,108
"132",240000,"2-3 Years","August-October","Ear Hanging",396764.1,208605.15,370679.89,236349.7,236349.7,236349.7,236349.7,236349.7,236349.7,236349.7,236349.7,0,0,1139250,1139250,1139250,1139250,1139250,1139250,1139250,1139250,1139250,0.12,111
"133",250000,"2-3 Years","August-October","Ear Hanging",397933.85,211015.75,374092.23,239153.6,239153.6,239153.6,239153.6,239153.6,239153.6,239153.6,239153.6,0,0,1186717.2,1186717.2,1186717.2,1186717.2,1186717.2,1186717.2,1186717.2,1186717.2,1186717.2,0.12,115
"134",260000,"2-3 Years","August-October","Ear Hanging",398484.79,214599.87,379489.41,243952.7,243952.7,243952.7,243952.7,243952.7,243952.7,243952.7,243952.7,0,0,1234184.4,1234184.4,1234184.4,1234184.4,1234184.4,1234184.4,1234184.4,1234184.4,1234184.4,0.12,121
"135",270000,"2-3 Years","August-October","Ear Hanging",399066.54,216422.48,382313.76,246168.6,246168.6,246168.6,246168.6,246168.6,246168.6,246168.6,246168.6,0,0,1281657.8,1281657.8,1281657.8,1281657.8,1281657.8,1281657.8,1281657.8,1281657.8,1281657.8,0.12,123
"136",280000,"2-3 Years","August-October","Ear Hanging",407378.63,220739.74,388456.16,251702.55,251702.55,251702.55,251702.55,251702.55,251702.55,251702.55,251702.55,0,0,1329125,1329125,1329125,1329125,1329125,1329125,1329125,1329125,1329125,0.12,129
"137",290000,"2-3 Years","August-October","Ear Hanging",408842.38,223444.35,392973.81,255622.12,255622.12,255622.12,255622.12,255622.12,255622.12,255622.12,255622.12,0,0,1376592.2,1376592.2,1376592.2,1376592.2,1376592.2,1376592.2,1376592.2,1376592.2,1376592.2,0.12,135
"138",300000,"2-3 Years","August-October","Ear Hanging",409424.13,227031.27,397562.48,259602.34,259602.34,259602.34,259602.34,259602.34,259602.34,259602.34,259602.34,0,0,1424065.6,1424065.6,1424065.6,1424065.6,1424065.6,1424065.6,1424065.6,1424065.6,1424065.6,0.12,140
"139",310000,"2-3 Years","August-October","Ear Hanging",410445.54,229321.54,401677.88,263109.3,263109.3,263109.3,263109.3,263109.3,263109.3,263109.3,263109.3,0,0,1471532.8,1471532.8,1471532.8,1471532.8,1471532.8,1471532.8,1471532.8,1471532.8,1471532.8,0.12,144
