Task,Type,Time,,,Season,Category,Year,Start,End,method
Process Settlement Device,Wild Spat - Collected,65,216,9,Spring,Seed Procurement,Seed Culture,2001-02-01,2001-02-10,Ear Hanging
Spat Stocking,Wild Spat - Collected,31.2,96,4,Spring,Seed Procurement,Seed Culture,2001-02-01,2001-02-05,Ear Hanging
Spat Collector Construction,Wild Spat - Collected,15.6,48,2,Winter,Seed procurement,Seed Culture,2000-11-01,2000-11-03,Ear Hanging
Restock,Intermediate - Lantern Net,136.5,432,18,Summer,Restocking,Intermediate Culture,2002-05-01,2002-05-19,Ear Hanging
Lantern Net Cleaning (Spring),Intermediate - Lantern Net,136.5,432,18,Spring,Cleaning/Gear Maintenance,Intermediate Culture,2001-02-01,2001-02-19,Ear Hanging
Lantern Net Cleaning (Summer),Intermediate - Lantern Net,136.5,432,18,Summer,Cleaning/Gear Maintenance,Intermediate Culture,2002-05-01,2002-05-19,Ear Hanging
Lantern Net Cleaning (Fall),Intermediate - Lantern Net,136.5,432,18,Fall,Cleaning/Gear Maintenance,Intermediate Culture,2000-08-01,2000-08-19,Ear Hanging
Previous Year Net Cleaning (on Land),Intermediate - Lantern Net,6.24,24,1,Fall,Cleaning/Gear Maintenance,Intermediate Culture,2000-08-01,2000-08-02,Ear Hanging
Drilling + Pinning: Automated Drilling,Ear Hanging,199.0625,600,25,Fall,Ear Hanging,Grow-Out Culture (2 Years),2000-08-01,2000-08-26,Ear Hanging
Dropper Line Construction,Ear Hanging,60.94285714,192,8,Fall,Ear Hanging,Grow-Out Culture (2 Years),2000-08-01,2000-08-09,Ear Hanging
Dropper Line Cleaning (Spring),Ear Hanging,32.81538462,120,5,Spring,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2001-02-01,2001-02-06,Ear Hanging
Dropper Line Cleaning (Summer),Ear Hanging,32.81538462,120,5,Summer,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2002-05-01,2002-05-06,Ear Hanging
Dropper Line Cleaning (Fall),Ear Hanging,32.81538462,120,5,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-06,Ear Hanging
Previous Year Net Cleaning (on Land),Ear Hanging,54.6,168,7,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-08,Ear Hanging
Dropper Line Cleaning (Spring),Ear Hanging,32.81538462,120,5,Spring,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2001-02-01,2001-02-06,Ear Hanging
Dropper Line Cleaning (Summer),Ear Hanging,32.81538462,120,5,Summer,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2002-05-01,2002-05-06,Ear Hanging
Harvest,Global,609.6289063,1848,77,Fall,Harvest,Grow-Out Culture (2 Years),2000-08-01,2000-10-17,Ear Hanging
Harvest Depinning + Cleaning,Ear Hanging,28.44,96,4,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-05,Ear Hanging
