"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Sea.Days"
"68",260000,"Y4","Fall","Lantern Net",31.6409488408792,261
"69",270000,"Y4","Fall","Lantern Net",34.2776945776191,269
"70",280000,"Y4","Fall","Lantern Net",34.2776945776191,281
"71",290000,"Y4","Fall","Lantern Net",36.914440314359,292
"72",300000,"Y4","Fall","Lantern Net",36.914440314359,304
"73",310000,"Y4","Fall","Lantern Net",39.5511860510989,311
"74",320000,"Y4","Fall","Lantern Net",39.5511860510989,319
"75",330000,"Y4","Fall","Lantern Net",42.1879317878389,331
"76",340000,"Y4","Fall","Lantern Net",42.1879317878389,341
"77",350000,"Y4","Fall","Lantern Net",42.1879317878389,353
"78",360000,"Y4","Fall","Lantern Net",44.8246775245788,361
"79",370000,"Y4","Fall","Lantern Net",44.8246775245788,371
"80",380000,"Y4","Fall","Lantern Net",47.4614232613187,379
"81",390000,"Y4","Fall","Lantern Net",47.4614232613187,394
"82",400000,"Y4","Fall","Lantern Net",50.0981689980587,402
"83",410000,"Y4","Fall","Lantern Net",50.0981689980587,411
"84",420000,"Y4","Fall","Lantern Net",52.7349147347986,423
"85",430000,"Y4","Fall","Lantern Net",52.7349147347986,431
"86",440000,"Y4","Fall","Lantern Net",55.3716604715385,442
"87",450000,"Y4","Fall","Lantern Net",55.3716604715385,450
"88",460000,"Y4","Fall","Lantern Net",55.3716604715385,462
"89",470000,"Y4","Fall","Lantern Net",58.0084062082785,466
"90",480000,"Y4","Fall","Lantern Net",58.0084062082785,474
"91",490000,"Y4","Fall","Lantern Net",60.6451519450184,489
"92",500000,"Y4","Fall","Lantern Net",60.6451519450184,495
